sku,upc,plu,vendor,product_name,description,unit_of_measure,category
WAL-0001,480173047018,1001,Walmart,Wagwave Smart Pet Feeder,"The WagWave Smart Pet Feeder is an innovative solution for pet owners to manage their pet's feeding schedule with ease. Designed to accommodate both dry and wet food, this feeder features customizable portion controls and a built-in Wi-Fi system that connects to an app on your smartphone. Receive notifications when your pet has been fed or when food levels are low. The sleek, modern design fits seamlessly into any home decor while ensuring your pet receives their meals when they need them, even when you're not home. Perfect for busy pet parents looking for a convenient and reliable feeding solution.",EACH,Pet Supplies
WAL-0002,430810245648,1002,Walmart,Artisan Sunflower Seed Sourdough Loaf,"Experience a rustic twist on a classic favorite with our Artisan Sunflower Seed Sourdough Loaf. Made with authentic sourdough starter and speckled with crunchy, nutty sunflower seeds, this hand-crafted loaf offers a perfect balance of tangy flavor and hearty texture. Whether toasted for breakfast or served alongside dinner, this loaf brings artisan quality to your table, available exclusively at Walmart's bakery section.",PACK,Bakery
WAL-0003,937979923443,1003,Walmart,Ecostride Recycled Sneakers,"Step into sustainability with the EcoStride Recycled Sneakers, exclusively at Walmart. Crafted from 100% recycled materials, these lightweight sneakers provide comfort and durability for every adventure. Featuring a breathable mesh upper, cushioned insoles, and non-slip soles, EcoStride ensures style meets responsibility. Perfect for eco-conscious consumers who want to make a difference one step at a time.",EACH,Footwear
WAL-0004,773337401237,1004,Walmart,Ecofresh All-Natural Multi-Surface Cleaner,"EcoFresh All-Natural Multi-Surface Cleaner is Walmart's latest eco-friendly cleaning solution designed to tackle dirt and grime on all surfaces with ease. Infused with a refreshing citrus scent, this biodegradable formula is made from plant-based ingredients, ensuring no harsh chemicals are left behind. Safe for use on countertops, floors, and appliances, EcoFresh provides a powerful clean while being gentle on the environment. Perfect for conscientious consumers looking to maintain a sparkling home without compromising sustainability.",BOX,Cleaning Supplies
WAL-0005,236896364137,1005,Walmart,Ecofresh Multi-Surface Cleaning Pods,"Introducing EcoFresh Multi-Surface Cleaning Pods, exclusively at Walmart. These innovative pods are designed for busy households seeking an eco-friendly solution to everyday cleaning. Each pod is packed with powerful plant-based ingredients, ensuring a thorough clean without harsh chemicals. Simply drop a pod into a spray bottle with water, shake, and you're ready to tackle any surface: kitchen counters, bathroom tiles, or hardwood floors. Safe for pets and children, EcoFresh Pods leave no residue and feature a refreshing citrus scent. Revolutionize your cleaning routine and contribute to a greener planet with EcoFresh.",BOX,Cleaning Supplies
WAL-0006,316992247612,1006,Walmart,Pawsitive Comfort Heated Pet Bed,"The Pawsitive Comfort Heated Pet Bed offers ultimate coziness for your furry friends. Designed to gently warm your pet during chilly nights, this bed features an adjustable temperature setting and a soft, plush surface, ensuring maximum comfort. Its eco-friendly materials and machine-washable cover make it a convenient and sustainable choice for pet owners. Ideal for cats and small dogs, this bed provides a soothing sanctuary for pets to relax and sleep soundly.",LITER,Pet Supplies
WAL-0007,757604375179,1007,Walmart,Ecostride Comfort Sneakers,"EcoStride Comfort Sneakers offer a blend of style, sustainability, and comfort. Exclusively available at Walmart, these sneakers are crafted from recycled materials, featuring a breathable fabric and cushioned soles for all-day wear. Perfect for the eco-conscious consumer looking for versatility in their footwear collection, EcoStride Comfort Sneakers are designed to support you whether you're running errands or engaging in light outdoor activities.",PACK,Footwear
WAL-0008,138293243406,1008,Walmart,Sriracha Maple Fusion,"Experience the perfect blend of spicy and sweet with Walmart's exclusive Sriracha Maple Fusion condiment. Crafted from premium organic maple syrup and fiery Sriracha, this unique sauce adds a bold twist to your favorite dishes. Perfect for drizzling on breakfast classics, glazing meats, or spicing up your favorite snacks. Elevate your culinary creations with this versatile and delicious fusion.",PACK,Condiments
WAL-0009,541797975159,1009,Walmart,Ecostride Recyclable Sneakers,"EcoStride Recyclable Sneakers are designed for the environmentally conscious consumer, featuring a sleek, modern design made entirely from recycled materials. These lightweight sneakers offer comfort and durability for everyday wear. With breathable fabric and a cushioned sole, they provide excellent support for active lifestyles. Available exclusively at Walmart, these sneakers not only help reduce your carbon footprint but also keep you stylish and comfortable.",PACK,Footwear
WAL-0010,683251191122,1010,Walmart,Ecofresh Bamboo Charcoal Toothbrush,"Experience unparalleled oral hygiene with our EcoFresh Bamboo Charcoal Toothbrush, exclusively at Walmart. Crafted from sustainable bamboo and infused with activated charcoal, this toothbrush naturally whitens teeth, reduces plaque, and fights bad breath. Its soft bristles are gentle on gums, making it perfect for all ages. Embrace an eco-friendly dental routine that combines innovation with environmental responsibility.",PACK,Personal Care
JEW-0101,481809647557,1101,Jewelosco,Jewelosco Gourmet Heirloom Tomato Medley,"Discover the vibrant taste of JewelOsco Gourmet Heirloom Tomato Medley, a premium selection of handpicked heirloom tomatoes preserved at the peak of freshness. This colorful assortment includes unique varieties, each with its own rich flavor profile, perfect for enhancing sauces, soups, or salads. Enjoy the authentic taste of summer all year round with this exquisite canned offering from JewelOsco.",PACK,Canned Goods
JEW-0102,595423738649,1102,Jewelosco,Artisan Maple Walnut Bread,"Experience the perfect blend of sweet and nutty flavors with JewelOsco's Artisan Maple Walnut Bread. Crafted using handpicked walnuts and infused with rich, organic maple syrup, this bread offers a delightful taste and texture that elevates any meal. Enjoy it toasted with butter or as the base for your favorite sandwich. Ideal for breakfast, brunch, or as a unique addition to your bread basket.",BOX,Bakery
JEW-0103,298796158800,1103,Jewelosco,Ecofresh Exfoliating Bamboo Face Scrub,"Revitalize your skin with JewelOsco's EcoFresh Exfoliating Bamboo Face Scrub, crafted with natural bamboo powder and soothing aloe vera. This gentle exfoliant removes impurities and dead skin cells, leaving your face feeling smooth and refreshed. Suitable for all skin types, EcoFresh is eco-friendly and cruelty-free, ensuring a sustainable choice for your personal care routine.",BOX,Personal Care
JEW-0104,200125702623,1104,Jewelosco,Artisan Truffle Brie,"Indulge in the rich and creamy Artisan Truffle Brie, exclusively at JewelOsco. This premium cheese combines the classic smoothness of Brie with the luxurious flavor of black truffles. Perfect for elevating your cheese board or creating sophisticated appetizers, its irresistible aroma and velvety texture offer a gourmet touch to any occasion.",BOX,Dairy
JEW-0105,590023028666,1105,Jewelosco,Crystal Glow Eco-Friendly Bamboo Toothbrush,"Experience a sustainable oral care routine with the Crystal Glow Bamboo Toothbrush, exclusively available at JewelOsco. Crafted from biodegradable bamboo and equipped with soft, BPA-free bristles, this toothbrush offers effective cleaning while being gentle on your gums and the planet. Its ergonomic handle ensures a comfortable grip, and the sleek design adds a touch of elegance to your bathroom decor. Perfect for eco-conscious individuals looking to reduce their environmental footprint without compromising on quality.",KG,Personal Care
JEW-0106,743612282272,1106,Jewelosco,Sunrise Ruby Grapefruit,"Experience the vibrant taste of JewelOsco's Sunrise Ruby Grapefruit, handpicked from the finest groves to ensure a perfect balance of sweet and tangy flavors. Packed with vitamin C and antioxidants, these juicy gems are ideal for refreshing breakfasts, energizing snacks, or adding a zesty twist to your favorite recipes.",EACH,Produce
JEW-0107,498972539821,1107,Jewelosco,Ecodrive Solar Car Shade,"The EcoDrive Solar Car Shade is a revolutionary automotive accessory that combines sun protection with eco-friendly energy generation. Designed for JewelOsco customers, this solar-powered car shade not only shields your vehicle from harsh UV rays but also harnesses solar energy to charge your car's battery or power small electronic devices. Made with high-quality, durable materials, it is easy to install and fits most car models. Drive with confidence knowing you're saving energy and protecting your vehicle.",EACH,Automotive
JEW-0108,767747932450,1108,Jewelosco,Ecoglow Biodegradable Candle Set,"Illuminate your space with the EcoGlow Biodegradable Candle Set, exclusively available at JewelOsco. These eco-friendly candles are crafted from natural soy wax and infused with essential oils for a soothing aroma. Each set includes a trio of candles in unique biodegradable containers, ensuring a sustainable burn for up to 30 hours. Perfect for creating a tranquil ambiance while caring for the planet.",EACH,Household Goods
JEW-0109,526596805747,1109,Jewelosco,Radiant Glow Herbal Face Serum,"Elevate your skincare routine with JewelOsco's Radiant Glow Herbal Face Serum, a luxurious blend of natural botanicals and essential oils designed to nourish and rejuvenate your skin. Infused with chamomile, green tea, and aloe vera, this lightweight formula hydrates and soothes, revealing a radiant, youthful complexion. Suitable for all skin types and crafted without parabens or synthetic fragrances, this serum is your skin's new best friend.",BOX,Beauty
JEW-0110,765984690462,1110,Jewelosco,Savory Herb-Infused Wagyu Beef Roast,"Experience luxury and flavor with JewelOsco's exclusive Savory Herb-Infused Wagyu Beef Roast. This premium cut of beef is marinated in a blend of rosemary, thyme, garlic, and olive oil, ensuring each bite is tender and bursting with rich, savory notes. Perfect for special occasions or a gourmet family dinner, our Wagyu Beef Roast is sourced from the finest cattle, offering unmatched marbling and juiciness. Elevate your culinary creations with this exquisite meat selection, available exclusively at JewelOsco.",LITER,Meat
MAR-0201,922054224397,1201,Marianos,Marianos Gourmet Bison Burgers,"Experience the rich and savory flavors of Marianos Gourmet Bison Burgers, crafted from 100% premium bison meat. These lean, protein-packed patties offer a healthier alternative to traditional beef, perfect for a delicious and nutritious grilling option. Enjoy the robust taste with your favorite toppings for an elevated burger experience.",LITER,Meat
MAR-0202,780463426624,1202,Marianos,Marianos Ecofresh Bamboo Toothbrush,"Experience a sustainable oral care routine with the EcoFresh Bamboo Toothbrush. Crafted from natural bamboo, this toothbrush offers a comfortable grip and soft, BPA-free bristles that gently clean your teeth while minimizing environmental impact. Perfect for eco-conscious individuals, the EcoFresh Bamboo Toothbrush is biodegradable, reducing plastic waste and promoting a healthier planet. Available exclusively at Marianos, this toothbrush combines eco-friendly practices with effective dental hygiene.",BOX,Personal Care
MAR-0203,992024913000,1203,Marianos,Ecofresh Reusable Silicone Food Covers,"EcoFresh Reusable Silicone Food Covers are the ultimate solution for sustainable food storage. Designed to fit various bowl sizes, these eco-friendly lids create an airtight seal, keeping your leftovers fresh and your kitchen waste-free. Easy to clean and dishwasher safe, our covers are perfect for reducing plastic wrap usage. Available exclusively at Marianos, these innovative covers bring convenience and eco-consciousness into your home.",PACK,Household Goods
MAR-0204,805223328053,1204,Marianos,Sustainable Citrus Marinated Wild Salmon,"Experience the vibrant taste of our Sustainable Citrus Marinated Wild Salmon, exclusively crafted for Marianos. Sourced from pristine waters, this succulent salmon is marinated in a blend of zesty citrus juices and aromatic herbs, highlighting its natural flavors. Perfect for grilling or baking, each fillet is rich in omega-3s and sustainably caught, ensuring a healthy choice for you and the planet.",LITER,Seafood
MAR-0205,666975709256,1205,Marianos,Ecostride Bamboo Sneakers,"EcoStride Bamboo Sneakers are crafted from sustainably sourced bamboo fibers, offering a lightweight and breathable experience perfect for everyday wear. These sneakers feature an ergonomic design that conforms to your feet, providing unmatched comfort and support. With a minimalist aesthetic and available in multiple earthy tones, EcoStride Bamboo Sneakers are not only stylish but also an environmentally friendly choice for conscious consumers.",KG,Footwear
MAR-0206,591871661712,1206,Marianos,Ecostride Bamboo Sneakers,"Step into sustainability with Marianos' EcoStride Bamboo Sneakers. Crafted from eco-friendly bamboo fibers and recycled rubber soles, these lightweight and breathable sneakers offer superior comfort and style. Perfect for the conscious consumer who values both fashion and the environment.",BOX,Footwear
MAR-0207,247184216704,1207,Marianos,Marianos Ecodrive Smart Tire,"Introducing the EcoDrive Smart Tire by Marianos, a revolutionary tire designed to enhance fuel efficiency while providing unparalleled road safety. Utilizing advanced sensor technology, these tires automatically adjust to road conditions, reducing drag and improving mileage. Perfect for the eco-conscious driver seeking high performance with minimal environmental impact.",BOX,Automotive
MAR-0208,211772878506,1208,Marianos,Ecogrow Solar-Powered Garden Lights,"Illuminate your garden sustainably with Marianos' EcoGrow Solar-Powered Garden Lights. These stylish, weather-resistant lights harness solar energy to provide a warm, inviting glow to any outdoor space. With easy installation and automatic dusk-to-dawn operation, they are perfect for pathways, flowerbeds, and patio areas, enhancing your garden ambiance while being kind to the environment.",PACK,Garden
MAR-0209,776151852997,1209,Marianos,Marianos Radiant Glow Serum,"Unlock your skin's natural luminosity with Marianos Radiant Glow Serum, an innovative blend of vitamin C, hyaluronic acid, and botanical extracts. Designed to hydrate, rejuvenate, and even out skin tone, this lightweight formula absorbs quickly, leaving your skin smooth and radiant. Ideal for all skin types, Marianos Radiant Glow Serum is your go-to solution for achieving a youthful, vibrant complexion.",LITER,Beauty
MAR-0210,391996789692,1210,Marianos,Ecostride Sneaker,"Marianos' EcoStride Sneaker is designed for the conscious consumer who values style and sustainability. Crafted from eco-friendly materials, including recycled knit uppers and biodegradable soles, this sneaker offers comfort and durability without compromising the planet. Available in a range of earthy tones inspired by nature, the EcoStride Sneaker is perfect for urban adventures or casual outings. Step into a greener future with every stride.",EACH,Footwear
